Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,575,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1001,751,2
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,698,1
2014-01-01,1,Ciutat Vella,1,el Raval,1,1002,858,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,1530,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1003,1775,2
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,1246,1
2014-01-01,1,Ciutat Vella,1,el Raval,2,1004,1607,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,1068,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1005,1384,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,731,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1006,889,2
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,794,1
2014-01-01,1,Ciutat Vella,1,el Raval,3,1007,1258,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,1364,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1008,2140,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,1016,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1009,1176,2
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,1002,1
2014-01-01,1,Ciutat Vella,1,el Raval,4,1010,1387,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,1472,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1011,2009,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,915,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1012,983,2
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,690,1
2014-01-01,1,Ciutat Vella,1,el Raval,5,1013,645,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,978,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1014,1000,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,1106,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1015,1169,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,1079,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1016,1087,2
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,1268,1
2014-01-01,1,Ciutat Vella,1,el Raval,6,1017,1437,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,746,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1018,775,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,1256,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1019,1577,2
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,1096,1
2014-01-01,1,Ciutat Vella,1,el Raval,7,1020,961,2
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,988,1
2014-01-01,1,Ciutat Vella,1,el Raval,8,1021,1004,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,637,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,591,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1040,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,924,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,651,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,635,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,889,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1260,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,772,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,823,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,894,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1050,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,664,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,703,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1162,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1350,2
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,742,1
2014-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,948,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,904,1
2014-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,948,2
2014-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,533,1
