Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2016,1,Ciutat Vella,1,el Raval,1,24839
2016,1,Ciutat Vella,1,el Raval,2,20863
2016,1,Ciutat Vella,1,el Raval,3,22150
2016,1,Ciutat Vella,1,el Raval,4,25227
2016,1,Ciutat Vella,1,el Raval,5,20507
2016,1,Ciutat Vella,1,el Raval,6,25067
2016,1,Ciutat Vella,1,el Raval,7,24854
2016,1,Ciutat Vella,1,el Raval,8,20956
2016,1,Ciutat Vella,1,el Raval,9,22621
2016,1,Ciutat Vella,1,el Raval,10,23192
2016,1,Ciutat Vella,1,el Raval,11,19688
2016,1,Ciutat Vella,1,el Raval,12,23890
2016,1,Ciutat Vella,1,el Raval,13,27171
2016,1,Ciutat Vella,1,el Raval,14,25061
2016,1,Ciutat Vella,1,el Raval,15,24510
2016,1,Ciutat Vella,1,el Raval,16,24815
2016,1,Ciutat Vella,1,el Raval,17,23048
2016,1,Ciutat Vella,1,el Raval,18,24267
2016,1,Ciutat Vella,1,el Raval,19,21610
2016,1,Ciutat Vella,1,el Raval,20,30746
2016,1,Ciutat Vella,1,el Raval,21,26120
2016,1,Ciutat Vella,2,el Gòtic,22,32652
2016,1,Ciutat Vella,2,el Gòtic,23,30465
2016,1,Ciutat Vella,2,el Gòtic,25,25453
2016,1,Ciutat Vella,2,el Gòtic,26,29523
2016,1,Ciutat Vella,2,el Gòtic,27,25939
2016,1,Ciutat Vella,2,el Gòtic,28,25534
2016,1,Ciutat Vella,2,el Gòtic,29,22902
2016,1,Ciutat Vella,2,el Gòtic,30,24683
2016,1,Ciutat Vella,2,el Gòtic,31,26246
2016,1,Ciutat Vella,3,la Barceloneta,32,26473
2016,1,Ciutat Vella,3,la Barceloneta,33,21729
2016,1,Ciutat Vella,3,la Barceloneta,34,21275
2016,1,Ciutat Vella,3,la Barceloneta,35,23126
2016,1,Ciutat Vella,3,la Barceloneta,36,26363
2016,1,Ciutat Vella,3,la Barceloneta,37,27028
2016,1,Ciutat Vella,3,la Barceloneta,38,21456
2016,1,Ciutat Vella,3,la Barceloneta,39,25610
2016,1,Ciutat Vella,3,la Barceloneta,40,24985
2016,1,Ciutat Vella,3,la Barceloneta,41,20544
2016,1,Ciutat Vella,3,la Barceloneta,42,27681
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,32723
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,32158
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,24304
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,25831
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,22659
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,20952
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,28424
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,27713
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,22565
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,35195
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,21823
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,24697
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,33802
2016,2,Eixample,5,el Fort Pienc,1,36385
2016,2,Eixample,5,el Fort Pienc,2,36693
2016,2,Eixample,5,el Fort Pienc,3,42062
2016,2,Eixample,5,el Fort Pienc,4,33234
2016,2,Eixample,5,el Fort Pienc,5,42076
2016,2,Eixample,5,el Fort Pienc,6,42675
2016,2,Eixample,5,el Fort Pienc,7,40760
2016,2,Eixample,5,el Fort Pienc,8,42485
2016,2,Eixample,5,el Fort Pienc,9,42104
2016,2,Eixample,5,el Fort Pienc,10,37661
2016,2,Eixample,5,el Fort Pienc,11,39193
2016,2,Eixample,5,el Fort Pienc,12,34932
2016,2,Eixample,5,el Fort Pienc,13,30602
2016,2,Eixample,5,el Fort Pienc,14,28639
2016,2,Eixample,5,el Fort Pienc,15,32046
2016,2,Eixample,5,el Fort Pienc,16,42124
2016,2,Eixample,5,el Fort Pienc,17,41736
2016,2,Eixample,5,el Fort Pienc,18,43369
2016,2,Eixample,5,el Fort Pienc,19,36715
2016,2,Eixample,5,el Fort Pienc,20,31238
2016,2,Eixample,6,la Sagrada Família,21,32799
2016,2,Eixample,6,la Sagrada Família,22,38488
2016,2,Eixample,6,la Sagrada Família,23,36493
2016,2,Eixample,6,la Sagrada Família,24,31658
2016,2,Eixample,6,la Sagrada Família,25,31261
2016,2,Eixample,6,la Sagrada Família,26,37715
2016,2,Eixample,6,la Sagrada Família,27,36884
2016,2,Eixample,6,la Sagrada Família,28,36997
2016,2,Eixample,6,la Sagrada Família,29,35804
2016,2,Eixample,6,la Sagrada Família,30,31126
2016,2,Eixample,6,la Sagrada Família,31,44558
2016,2,Eixample,6,la Sagrada Família,32,38213
2016,2,Eixample,6,la Sagrada Família,33,34400
2016,2,Eixample,6,la Sagrada Família,34,28885
2016,2,Eixample,6,la Sagrada Família,35,37059
2016,2,Eixample,6,la Sagrada Família,36,41499
2016,2,Eixample,6,la Sagrada Família,37,42228
2016,2,Eixample,6,la Sagrada Família,38,43323
2016,2,Eixample,6,la Sagrada Família,39,34108
2016,2,Eixample,6,la Sagrada Família,40,30504
2016,2,Eixample,6,la Sagrada Família,41,36050
2016,2,Eixample,6,la Sagrada Família,42,45465
2016,2,Eixample,6,la Sagrada Família,43,41203
2016,2,Eixample,6,la Sagrada Família,44,34375
2016,2,Eixample,6,la Sagrada Família,45,41430
2016,2,Eixample,6,la Sagrada Família,46,32613
2016,2,Eixample,6,la Sagrada Família,47,36592
2016,2,Eixample,6,la Sagrada Família,48,36887
2016,2,Eixample,6,la Sagrada Família,49,31997
2016,2,Eixample,6,la Sagrada Família,50,35716
2016,2,Eixample,6,la Sagrada Família,51,33863
2016,2,Eixample,6,la Sagrada Família,52,35928
2016,2,Eixample,6,la Sagrada Família,53,37281
2016,2,Eixample,6,la Sagrada Família,54,38629
2016,2,Eixample,7,la Dreta de l'Eixample,55,39500
2016,2,Eixample,7,la Dreta de l'Eixample,56,39745
2016,2,Eixample,7,la Dreta de l'Eixample,57,53010
2016,2,Eixample,7,la Dreta de l'Eixample,58,42666
2016,2,Eixample,7,la Dreta de l'Eixample,59,47892
2016,2,Eixample,7,la Dreta de l'Eixample,60,43287
2016,2,Eixample,7,la Dreta de l'Eixample,61,35663
2016,2,Eixample,7,la Dreta de l'Eixample,62,44172
2016,2,Eixample,7,la Dreta de l'Eixample,63,63005
2016,2,Eixample,7,la Dreta de l'Eixample,64,53910
2016,2,Eixample,7,la Dreta de l'Eixample,65,41556
2016,2,Eixample,7,la Dreta de l'Eixample,66,43422
2016,2,Eixample,7,la Dreta de l'Eixample,67,36647
2016,2,Eixample,7,la Dreta de l'Eixample,68,39692
2016,2,Eixample,7,la Dreta de l'Eixample,69,45218
2016,2,Eixample,7,la Dreta de l'Eixample,70,45256
2016,2,Eixample,7,la Dreta de l'Eixample,71,49946
2016,2,Eixample,7,la Dreta de l'Eixample,72,53783
2016,2,Eixample,7,la Dreta de l'Eixample,73,51993
2016,2,Eixample,7,la Dreta de l'Eixample,74,55434
2016,2,Eixample,7,la Dreta de l'Eixample,75,42623
2016,2,Eixample,7,la Dreta de l'Eixample,76,51734
2016,2,Eixample,7,la Dreta de l'Eixample,77,48054
2016,2,Eixample,7,la Dreta de l'Eixample,78,55255
