Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Edat_mitjana
2020,1,Ciutat Vella,1,el Raval,1,70.0
2020,1,Ciutat Vella,1,el Raval,2,108.5
2020,1,Ciutat Vella,1,el Raval,3,92.3
2020,1,Ciutat Vella,1,el Raval,4,89.0
2020,1,Ciutat Vella,1,el Raval,5,100.2
2020,1,Ciutat Vella,1,el Raval,6,118.0
2020,1,Ciutat Vella,1,el Raval,7,113.2
2020,1,Ciutat Vella,1,el Raval,8,116.9
2020,1,Ciutat Vella,1,el Raval,9,100.2
2020,1,Ciutat Vella,1,el Raval,10,129.2
2020,1,Ciutat Vella,1,el Raval,11,136.6
2020,1,Ciutat Vella,1,el Raval,12,114.8
2020,1,Ciutat Vella,1,el Raval,13,93.7
2020,1,Ciutat Vella,1,el Raval,14,135.1
2020,1,Ciutat Vella,1,el Raval,15,113.1
2020,1,Ciutat Vella,1,el Raval,16,112.3
2020,1,Ciutat Vella,1,el Raval,17,134.8
2020,1,Ciutat Vella,1,el Raval,18,103.4
2020,1,Ciutat Vella,1,el Raval,19,132.0
2020,1,Ciutat Vella,1,el Raval,20,123.6
2020,1,Ciutat Vella,1,el Raval,21,109.1
2020,1,Ciutat Vella,2,el Gòtic,22,92.7
2020,1,Ciutat Vella,2,el Gòtic,23,134.9
2020,1,Ciutat Vella,2,el Gòtic,25,144.7
2020,1,Ciutat Vella,2,el Gòtic,26,136.8
2020,1,Ciutat Vella,2,el Gòtic,27,137.2
2020,1,Ciutat Vella,2,el Gòtic,28,117.3
2020,1,Ciutat Vella,2,el Gòtic,29,111.7
2020,1,Ciutat Vella,2,el Gòtic,30,101.5
2020,1,Ciutat Vella,2,el Gòtic,31,128.0
2020,1,Ciutat Vella,3,la Barceloneta,32,83.7
2020,1,Ciutat Vella,3,la Barceloneta,33,83.1
2020,1,Ciutat Vella,3,la Barceloneta,34,85.0
2020,1,Ciutat Vella,3,la Barceloneta,35,91.3
2020,1,Ciutat Vella,3,la Barceloneta,36,44.1
2020,1,Ciutat Vella,3,la Barceloneta,37,84.2
2020,1,Ciutat Vella,3,la Barceloneta,38,103.6
2020,1,Ciutat Vella,3,la Barceloneta,39,86.5
2020,1,Ciutat Vella,3,la Barceloneta,40,82.4
2020,1,Ciutat Vella,3,la Barceloneta,41,99.2
2020,1,Ciutat Vella,3,la Barceloneta,42,74.5
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,77.7
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,97.4
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,128.2
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,122.7
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,120.3
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,124.9
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,94.4
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,117.9
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,124.6
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,109.1
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,95.9
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,99.3
