Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Any_construccio,Nombre
2021,1,Ciutat Vella,1,el Raval,1,Abans del 1901,184
2021,1,Ciutat Vella,1,el Raval,1,1901 - 1940,90
2021,1,Ciutat Vella,1,el Raval,1,1941 - 1950,103
2021,1,Ciutat Vella,1,el Raval,1,1951 - 1960,59
2021,1,Ciutat Vella,1,el Raval,1,1961 - 1970,31
2021,1,Ciutat Vella,1,el Raval,1,1971 - 1980,151
2021,1,Ciutat Vella,1,el Raval,1,1981 - 1990,54
2021,1,Ciutat Vella,1,el Raval,1,1991 - 2000,132
2021,1,Ciutat Vella,1,el Raval,1,A partir del 2016,4
2021,1,Ciutat Vella,1,el Raval,2,Abans del 1901,458
2021,1,Ciutat Vella,1,el Raval,2,1901 - 1940,120
2021,1,Ciutat Vella,1,el Raval,2,1951 - 1960,2
2021,1,Ciutat Vella,1,el Raval,2,1981 - 1990,48
2021,1,Ciutat Vella,1,el Raval,2,1991 - 2000,36
2021,1,Ciutat Vella,1,el Raval,2,2001 - 2005,64
2021,1,Ciutat Vella,1,el Raval,3,Abans del 1901,521
2021,1,Ciutat Vella,1,el Raval,3,1941 - 1950,23
2021,1,Ciutat Vella,1,el Raval,3,1961 - 1970,321
2021,1,Ciutat Vella,1,el Raval,3,1971 - 1980,200
2021,1,Ciutat Vella,1,el Raval,3,1981 - 1990,246
2021,1,Ciutat Vella,1,el Raval,3,1991 - 2000,19
2021,1,Ciutat Vella,1,el Raval,3,2001 - 2005,8
2021,1,Ciutat Vella,1,el Raval,4,Abans del 1901,647
2021,1,Ciutat Vella,1,el Raval,4,1901 - 1940,270
2021,1,Ciutat Vella,1,el Raval,4,1941 - 1950,32
2021,1,Ciutat Vella,1,el Raval,4,1951 - 1960,117
2021,1,Ciutat Vella,1,el Raval,4,1971 - 1980,9
2021,1,Ciutat Vella,1,el Raval,4,1991 - 2000,138
2021,1,Ciutat Vella,1,el Raval,4,2001 - 2005,122
2021,1,Ciutat Vella,1,el Raval,4,2006 - 2010,71
2021,1,Ciutat Vella,1,el Raval,4,2011 - 2015,56
2021,1,Ciutat Vella,1,el Raval,5,Abans del 1901,499
2021,1,Ciutat Vella,1,el Raval,5,1901 - 1940,466
2021,1,Ciutat Vella,1,el Raval,5,1941 - 1950,16
2021,1,Ciutat Vella,1,el Raval,5,1961 - 1970,20
2021,1,Ciutat Vella,1,el Raval,5,1991 - 2000,187
2021,1,Ciutat Vella,1,el Raval,5,2001 - 2005,31
2021,1,Ciutat Vella,1,el Raval,5,2006 - 2010,50
2021,1,Ciutat Vella,1,el Raval,5,A partir del 2016,22
2021,1,Ciutat Vella,1,el Raval,6,Abans del 1901,622
2021,1,Ciutat Vella,1,el Raval,6,1901 - 1940,213
2021,1,Ciutat Vella,1,el Raval,6,1951 - 1960,15
2021,1,Ciutat Vella,1,el Raval,6,1961 - 1970,5
2021,1,Ciutat Vella,1,el Raval,6,1991 - 2000,28
2021,1,Ciutat Vella,1,el Raval,6,2006 - 2010,28
2021,1,Ciutat Vella,1,el Raval,6,A partir del 2016,7
2021,1,Ciutat Vella,1,el Raval,7,Abans del 1901,702
2021,1,Ciutat Vella,1,el Raval,7,1901 - 1940,30
2021,1,Ciutat Vella,1,el Raval,7,1991 - 2000,31
2021,1,Ciutat Vella,1,el Raval,7,2001 - 2005,4
2021,1,Ciutat Vella,1,el Raval,7,2006 - 2010,121
2021,1,Ciutat Vella,1,el Raval,8,Abans del 1901,943
2021,1,Ciutat Vella,1,el Raval,8,1901 - 1940,100
2021,1,Ciutat Vella,1,el Raval,8,1941 - 1950,22
2021,1,Ciutat Vella,1,el Raval,8,1951 - 1960,2
2021,1,Ciutat Vella,1,el Raval,8,1961 - 1970,14
2021,1,Ciutat Vella,1,el Raval,8,1991 - 2000,40
2021,1,Ciutat Vella,1,el Raval,8,2001 - 2005,9
2021,1,Ciutat Vella,1,el Raval,8,2006 - 2010,32
2021,1,Ciutat Vella,1,el Raval,8,2011 - 2015,96
2021,1,Ciutat Vella,1,el Raval,9,Abans del 1901,653
2021,1,Ciutat Vella,1,el Raval,9,1901 - 1940,90
2021,1,Ciutat Vella,1,el Raval,9,1951 - 1960,13
2021,1,Ciutat Vella,1,el Raval,9,1961 - 1970,173
2021,1,Ciutat Vella,1,el Raval,9,1991 - 2000,28
2021,1,Ciutat Vella,1,el Raval,9,2001 - 2005,90
2021,1,Ciutat Vella,1,el Raval,9,A partir del 2016,2
2021,1,Ciutat Vella,1,el Raval,10,Abans del 1901,724
2021,1,Ciutat Vella,1,el Raval,10,1901 - 1940,100
2021,1,Ciutat Vella,1,el Raval,10,1941 - 1950,18
2021,1,Ciutat Vella,1,el Raval,10,1961 - 1970,13
2021,1,Ciutat Vella,1,el Raval,10,1991 - 2000,71
2021,1,Ciutat Vella,1,el Raval,10,2006 - 2010,36
2021,1,Ciutat Vella,1,el Raval,10,A partir del 2016,3
2021,1,Ciutat Vella,1,el Raval,11,Abans del 1901,1294
2021,1,Ciutat Vella,1,el Raval,11,1901 - 1940,39
2021,1,Ciutat Vella,1,el Raval,11,1941 - 1950,2
2021,1,Ciutat Vella,1,el Raval,11,1961 - 1970,18
2021,1,Ciutat Vella,1,el Raval,11,1971 - 1980,38
2021,1,Ciutat Vella,1,el Raval,11,1981 - 1990,21
2021,1,Ciutat Vella,1,el Raval,11,1991 - 2000,114
2021,1,Ciutat Vella,1,el Raval,11,2001 - 2005,14
2021,1,Ciutat Vella,1,el Raval,11,2006 - 2010,21
2021,1,Ciutat Vella,1,el Raval,12,Abans del 1901,738
2021,1,Ciutat Vella,1,el Raval,12,1901 - 1940,150
2021,1,Ciutat Vella,1,el Raval,12,1941 - 1950,24
2021,1,Ciutat Vella,1,el Raval,12,1971 - 1980,42
2021,1,Ciutat Vella,1,el Raval,12,1981 - 1990,8
2021,1,Ciutat Vella,1,el Raval,12,1991 - 2000,19
2021,1,Ciutat Vella,1,el Raval,12,2001 - 2005,45
2021,1,Ciutat Vella,1,el Raval,12,2006 - 2010,12
2021,1,Ciutat Vella,1,el Raval,12,A partir del 2016,19
2021,1,Ciutat Vella,1,el Raval,13,Abans del 1901,161
2021,1,Ciutat Vella,1,el Raval,13,1901 - 1940,151
2021,1,Ciutat Vella,1,el Raval,13,1941 - 1950,22
2021,1,Ciutat Vella,1,el Raval,13,1951 - 1960,30
2021,1,Ciutat Vella,1,el Raval,13,1961 - 1970,193
2021,1,Ciutat Vella,1,el Raval,13,1991 - 2000,54
2021,1,Ciutat Vella,1,el Raval,13,2001 - 2005,12
2021,1,Ciutat Vella,1,el Raval,14,Abans del 1901,712
2021,1,Ciutat Vella,1,el Raval,14,1901 - 1940,69
2021,1,Ciutat Vella,1,el Raval,14,1961 - 1970,2
2021,1,Ciutat Vella,1,el Raval,14,1991 - 2000,16
2021,1,Ciutat Vella,1,el Raval,14,2001 - 2005,12
2021,1,Ciutat Vella,1,el Raval,15,Abans del 1901,713
2021,1,Ciutat Vella,1,el Raval,15,1901 - 1940,144
2021,1,Ciutat Vella,1,el Raval,15,1941 - 1950,21
2021,1,Ciutat Vella,1,el Raval,15,1951 - 1960,3
2021,1,Ciutat Vella,1,el Raval,15,1961 - 1970,83
2021,1,Ciutat Vella,1,el Raval,15,1971 - 1980,85
2021,1,Ciutat Vella,1,el Raval,15,1991 - 2000,24
2021,1,Ciutat Vella,1,el Raval,15,2006 - 2010,12
2021,1,Ciutat Vella,1,el Raval,15,A partir del 2016,4
2021,1,Ciutat Vella,1,el Raval,16,Abans del 1901,722
2021,1,Ciutat Vella,1,el Raval,16,1901 - 1940,352
2021,1,Ciutat Vella,1,el Raval,16,1981 - 1990,3
2021,1,Ciutat Vella,1,el Raval,16,2001 - 2005,16
2021,1,Ciutat Vella,1,el Raval,17,Abans del 1901,932
2021,1,Ciutat Vella,1,el Raval,17,1901 - 1940,233
2021,1,Ciutat Vella,1,el Raval,17,1991 - 2000,11
2021,1,Ciutat Vella,1,el Raval,17,2006 - 2010,10
2021,1,Ciutat Vella,1,el Raval,18,Abans del 1901,508
2021,1,Ciutat Vella,1,el Raval,18,1901 - 1940,7
2021,1,Ciutat Vella,1,el Raval,18,1961 - 1970,13
2021,1,Ciutat Vella,1,el Raval,18,1981 - 1990,56
2021,1,Ciutat Vella,1,el Raval,18,1991 - 2000,115
2021,1,Ciutat Vella,1,el Raval,19,Abans del 1901,1342
2021,1,Ciutat Vella,1,el Raval,19,1901 - 1940,46
2021,1,Ciutat Vella,1,el Raval,19,1961 - 1970,12
2021,1,Ciutat Vella,1,el Raval,19,1971 - 1980,3
