year,district_code,district_name,neighborhood_code,neighborhood_name,census_tract,avg_m2_surface
2018,1,Ciutat Vella,1,el Raval,1001,76.8
2018,1,Ciutat Vella,1,el Raval,1002,71.6
2018,1,Ciutat Vella,1,el Raval,1003,59.0
2018,1,Ciutat Vella,1,el Raval,1004,65.3
2018,1,Ciutat Vella,1,el Raval,1005,77.9
2018,1,Ciutat Vella,1,el Raval,1006,78.1
2018,1,Ciutat Vella,1,el Raval,1007,70.1
2018,1,Ciutat Vella,1,el Raval,1008,54.6
2018,1,Ciutat Vella,1,el Raval,1009,57.7
2018,1,Ciutat Vella,1,el Raval,1010,56.5
2018,1,Ciutat Vella,1,el Raval,1011,53.1
2018,1,Ciutat Vella,1,el Raval,1012,56.2
2018,1,Ciutat Vella,1,el Raval,1013,68.7
2018,1,Ciutat Vella,1,el Raval,1014,61.9
2018,1,Ciutat Vella,1,el Raval,1015,61.2
2018,1,Ciutat Vella,1,el Raval,1016,60.8
2018,1,Ciutat Vella,1,el Raval,1017,55.2
2018,1,Ciutat Vella,1,el Raval,1018,70.0
2018,1,Ciutat Vella,1,el Raval,1019,63.8
2018,1,Ciutat Vella,1,el Raval,1020,91.6
2018,1,Ciutat Vella,1,el Raval,1021,78.6
2018,1,Ciutat Vella,2,el Barri Gòtic,1022,106.8
2018,1,Ciutat Vella,2,el Barri Gòtic,1023,82.6
2018,1,Ciutat Vella,2,el Barri Gòtic,1025,84.5
2018,1,Ciutat Vella,2,el Barri Gòtic,1026,80.5
2018,1,Ciutat Vella,2,el Barri Gòtic,1027,96.3
2018,1,Ciutat Vella,2,el Barri Gòtic,1028,85.7
2018,1,Ciutat Vella,2,el Barri Gòtic,1029,90.2
2018,1,Ciutat Vella,2,el Barri Gòtic,1030,95.2
2018,1,Ciutat Vella,2,el Barri Gòtic,1031,83.0
2018,1,Ciutat Vella,3,la Barceloneta,1032,46.4
2018,1,Ciutat Vella,3,la Barceloneta,1033,42.2
2018,1,Ciutat Vella,3,la Barceloneta,1034,37.3
2018,1,Ciutat Vella,3,la Barceloneta,1035,38.2
2018,1,Ciutat Vella,3,la Barceloneta,1036,60.4
2018,1,Ciutat Vella,3,la Barceloneta,1037,53.8
2018,1,Ciutat Vella,3,la Barceloneta,1038,36.1
2018,1,Ciutat Vella,3,la Barceloneta,1039,52.2
2018,1,Ciutat Vella,3,la Barceloneta,1040,46.9
2018,1,Ciutat Vella,3,la Barceloneta,1041,36.3
2018,1,Ciutat Vella,3,la Barceloneta,1042,66.8
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1043,82.9
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1044,83.3
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1045,70.2
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1046,68.5
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1047,62.6
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1048,62.1
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1049,81.7
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1050,69.8
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1051,58.8
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1052,107.1
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1053,57.3
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1054,57.9
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1055,84.8
2018,2,Eixample,5,el Fort Pienc,2001,83.6
2018,2,Eixample,5,el Fort Pienc,2002,77.8
2018,2,Eixample,5,el Fort Pienc,2003,77.0
2018,2,Eixample,5,el Fort Pienc,2004,81.5
2018,2,Eixample,5,el Fort Pienc,2005,89.3
2018,2,Eixample,5,el Fort Pienc,2006,91.4
2018,2,Eixample,5,el Fort Pienc,2007,88.2
2018,2,Eixample,5,el Fort Pienc,2008,89.3
2018,2,Eixample,5,el Fort Pienc,2009,83.7
2018,2,Eixample,5,el Fort Pienc,2010,92.1
2018,2,Eixample,5,el Fort Pienc,2011,81.3
2018,2,Eixample,5,el Fort Pienc,2012,75.0
2018,2,Eixample,5,el Fort Pienc,2013,67.2
2018,2,Eixample,5,el Fort Pienc,2014,73.2
2018,2,Eixample,5,el Fort Pienc,2015,76.6
2018,2,Eixample,5,el Fort Pienc,2016,83.3
2018,2,Eixample,5,el Fort Pienc,2017,86.1
2018,2,Eixample,5,el Fort Pienc,2018,89.2
2018,2,Eixample,5,el Fort Pienc,2019,81.5
2018,2,Eixample,5,el Fort Pienc,2020,70.2
2018,2,Eixample,6,la Sagrada Família,2021,70.6
2018,2,Eixample,6,la Sagrada Família,2022,77.2
2018,2,Eixample,6,la Sagrada Família,2023,74.5
2018,2,Eixample,6,la Sagrada Família,2024,72.5
2018,2,Eixample,6,la Sagrada Família,2025,67.8
2018,2,Eixample,6,la Sagrada Família,2026,75.0
2018,2,Eixample,6,la Sagrada Família,2027,83.1
2018,2,Eixample,6,la Sagrada Família,2028,72.0
2018,2,Eixample,6,la Sagrada Família,2029,80.7
2018,2,Eixample,6,la Sagrada Família,2030,74.5
2018,2,Eixample,6,la Sagrada Família,2031,83.3
2018,2,Eixample,6,la Sagrada Família,2032,76.8
2018,2,Eixample,6,la Sagrada Família,2033,66.7
2018,2,Eixample,6,la Sagrada Família,2034,65.7
2018,2,Eixample,6,la Sagrada Família,2035,77.6
2018,2,Eixample,6,la Sagrada Família,2036,81.4
2018,2,Eixample,6,la Sagrada Família,2037,80.0
2018,2,Eixample,6,la Sagrada Família,2038,73.6
2018,2,Eixample,6,la Sagrada Família,2039,74.5
2018,2,Eixample,6,la Sagrada Família,2040,63.7
2018,2,Eixample,6,la Sagrada Família,2041,73.8
2018,2,Eixample,6,la Sagrada Família,2042,85.0
2018,2,Eixample,6,la Sagrada Família,2043,85.1
2018,2,Eixample,6,la Sagrada Família,2044,75.6
2018,2,Eixample,6,la Sagrada Família,2045,82.4
2018,2,Eixample,6,la Sagrada Família,2046,77.4
2018,2,Eixample,6,la Sagrada Família,2047,81.0
2018,2,Eixample,6,la Sagrada Família,2048,77.1
2018,2,Eixample,6,la Sagrada Família,2049,68.2
2018,2,Eixample,6,la Sagrada Família,2050,69.2
2018,2,Eixample,6,la Sagrada Família,2051,77.1
2018,2,Eixample,6,la Sagrada Família,2052,72.7
2018,2,Eixample,6,la Sagrada Família,2053,72.1
2018,2,Eixample,6,la Sagrada Família,2054,79.0
2018,2,Eixample,7,la Dreta de l'Eixample,2055,86.3
2018,2,Eixample,7,la Dreta de l'Eixample,2056,99.5
2018,2,Eixample,7,la Dreta de l'Eixample,2057,109.2
2018,2,Eixample,7,la Dreta de l'Eixample,2058,87.4
2018,2,Eixample,7,la Dreta de l'Eixample,2059,118.5
2018,2,Eixample,7,la Dreta de l'Eixample,2060,101.1
2018,2,Eixample,7,la Dreta de l'Eixample,2061,79.4
2018,2,Eixample,7,la Dreta de l'Eixample,2062,116.0
2018,2,Eixample,7,la Dreta de l'Eixample,2063,152.3
2018,2,Eixample,7,la Dreta de l'Eixample,2064,115.6
2018,2,Eixample,7,la Dreta de l'Eixample,2065,98.5
2018,2,Eixample,7,la Dreta de l'Eixample,2066,88.6
2018,2,Eixample,7,la Dreta de l'Eixample,2067,74.6
2018,2,Eixample,7,la Dreta de l'Eixample,2068,89.6
2018,2,Eixample,7,la Dreta de l'Eixample,2069,100.7
2018,2,Eixample,7,la Dreta de l'Eixample,2070,112.7
2018,2,Eixample,7,la Dreta de l'Eixample,2071,117.3
2018,2,Eixample,7,la Dreta de l'Eixample,2072,127.7
2018,2,Eixample,7,la Dreta de l'Eixample,2073,125.0
2018,2,Eixample,7,la Dreta de l'Eixample,2074,141.4
2018,2,Eixample,7,la Dreta de l'Eixample,2075,119.7
2018,2,Eixample,7,la Dreta de l'Eixample,2076,139.1
2018,2,Eixample,7,la Dreta de l'Eixample,2077,124.5
2018,2,Eixample,7,la Dreta de l'Eixample,2078,129.8
2018,2,Eixample,7,la Dreta de l'Eixample,2079,137.0
2018,2,Eixample,7,la Dreta de l'Eixample,2080,147.4
2018,2,Eixample,7,la Dreta de l'Eixample,2081,127.9
2018,2,Eixample,7,la Dreta de l'Eixample,2082,131.3
2018,2,Eixample,7,la Dreta de l'Eixample,2083,123.4
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2084,101.6
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2085,113.1
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2086,120.1
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2087,89.1
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2088,99.6
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2089,104.3
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2090,94.1
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2091,105.3
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2092,94.8
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2093,94.3
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2094,98.7
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2095,88.1
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2096,82.5
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2097,74.9
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2098,91.2
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2099,101.0
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2100,81.1
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2101,80.8
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2102,91.0
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2103,70.6
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2104,92.4
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2105,84.2
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2106,103.3
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2107,104.3
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2108,96.4
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2109,100.2
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2110,79.4
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2111,77.9
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2112,100.9
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2113,91.8
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2114,82.1
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2115,73.6
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2116,94.3
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2117,85.2
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2118,89.8
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2119,83.9
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2120,74.9
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2121,79.8
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2122,83.6
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2123,69.1
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2124,80.6
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2125,82.0
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2126,88.4
