year,district_code,district_name,neighborhood_code,neighborhood_name,latitude,longitude,total_nb_buy_sell,nb_buy_sell_new_free_mkt,nb_buy_sell_new_protc_mkt,nb_buy_sell_2nd_hand,total_avg_m2_surf,avg_m2_surf_new_free_mkt,avg_m2_surf_new_protc_mkt,avg_m2_2nd_hand,avg_total_price_€000_all,avg_total_price_€000_new,avg_total_price_€000_2nd_hand,avg_price_€/m2_all,avg_price_€/m2_new,avg_price_€/m2_2nd_hand,avg_weight_ int_ rate_%,avg_nb_pax_per_home,avg_pax_age,F,M,total_pax,foreign_nat,spanish_nat,avg_gross_inc_€,avg_net_inc_€,unknown_nat
2021,1,Ciutat Vella,1,el Raval,41.379518,2.168368,417,8,0,409,60.9,68.8,0.0,60.8,199.4,348.6,197.2,3145.6,5120.4,3117.5,0.0138,2.9047619047619047,37.98571428571429,22466,26222,48688,9792,7525,32094.666666666668,27036.904761904763,31371
2021,1,Ciutat Vella,2,el Barri Gòtic,41.383395,2.176912,185,13,0,172,83.5,90.6,0.0,82.9,354.2,446.8,345.4,4230.7,4385.8,4215.8,0.0138,2.0,38.86666666666667,8843,14007,22850,3680,2897,39074.555555555555,30513.333333333332,16273
2021,1,Ciutat Vella,3,la Barceloneta,41.380653,2.189927,176,9,0,167,43.3,32.1,0.0,44.0,195.2,118.0,200.3,4385.5,3682.5,4432.1,0.0138,2.0,41.945454545454545,7647,7478,15125,3185,3768,33138.63636363636,27356.727272727272,8172
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",41.384753,2.183755,251,14,0,237,72.4,87.3,0.0,71.5,291.7,558.5,276.5,4071.3,6058.6,3958.3,0.0138,2.0,39.93846153846154,11431,11578,23009,5104,4979,39499.692307692305,31032.846153846152,12926
2021,2,Eixample,5,el Fort Pienc,41.395925,2.182325,216,6,0,210,82.5,81.0,0.0,82.5,324.6,284.6,325.9,3989.5,3570.1,4003.1,0.0138,2.25,43.585,17443,16002,33445,3610,9194,54773.95,42808.15,20641
2021,2,Eixample,6,la Sagrada Família,41.403479,2.17441,437,17,0,420,75.6,63.8,0.0,76.2,305.3,191.8,312.8,4023.2,2987.8,4091.9,0.0138,2.088235294117647,44.588235294117645,28118,24046,52164,5865,16019,51802.67647058824,40778.205882352944,30280
2021,2,Eixample,7,la Dreta de l'Eixample,41.395037,2.167207,404,22,0,382,116.0,145.5,0.0,114.1,647.2,1008.6,622.6,5506.9,7609.7,5363.7,0.0138,2.0344827586206895,43.44827586206897,23431,20657,44088,5937,12504,71080.27586206897,51776.8275862069,25647
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41.39,2.155,393,25,1,367,93.5,82.1,39.0,94.3,461.3,562.3,454.7,4920.8,6844.5,4795.6,0.0138,2.0384615384615383,43.534615384615385,22685,20361,43046,5382,12691,64181.807692307695,48039.307692307695,24973
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,41.383389,2.149,397,69,13,315,82.9,83.7,83.7,82.7,369.7,365.2,370.8,4433.8,4451.8,4429.2,0.0138,2.025,45.0775,30843,27063,57906,5956,18579,59404.175,45801.475,33371
2021,2,Eixample,10,Sant Antoni,41.380052,2.163327,282,8,0,274,87.0,266.4,0.0,80.9,401.8,490.0,395.6,4421.8,2942.5,4526.4,0.0138,2.125,44.50416666666666,20253,18447,38700,4527,11678,52050.541666666664,41032.583333333336,22495
2021,3,Sants-Montjuïc,11,el Poble Sec,41.37498,2.160572,386,10,0,376,61.9,69.8,0.0,61.7,286.6,260.0,289.6,4497.8,3799.6,4577.4,0.0138,2.4166666666666665,41.920833333333334,20429,19775,40204,6095,9826,39304.125,32225.333333333332,24283
2021,3,Sants-Montjuïc,12,la Marina del Prat Vermell,41.353842,2.142318,24,0,0,24,74.3,0.0,0.0,74.3,200.6,0.0,200.6,2607.7,0.0,2607.7,0.0138,2.0,41.5,657,699,1356,94,450,32820.0,27935.0,812
2021,3,Sants-Montjuïc,13,la Marina de Port,41.360296,2.137584,203,1,2,200,72.0,0.0,66.5,72.1,249.8,0.0,249.8,3448.0,0.0,3448.0,0.0138,2.7058823529411766,43.870588235294115,16141,14951,31092,2271,9728,40721.58823529412,34052.58823529412,19093
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,41.370782,2.144676,64,9,0,55,72.5,84.4,0.0,70.3,264.1,321.6,254.5,3754.9,3637.3,3774.5,0.0138,2.0,45.285714285714285,5377,4862,10239,1022,3216,47062.0,37951.28571428572,6001
2021,3,Sants-Montjuïc,15,Hostafrancs,41.375263,2.143194,102,28,0,74,68.9,75.8,0.0,66.2,268.4,306.7,252.9,3922.2,3992.4,3893.7,0.0138,2.1,43.03,8378,7724,16102,1943,4747,45368.6,36569.3,9412
2021,3,Sants-Montjuïc,16,la Bordeta,41.369142,2.137373,156,5,0,151,69.2,72.2,0.0,69.1,230.7,310.2,217.0,3300.9,4286.7,3130.9,0.0138,2.5384615384615383,45.04615384615385,10169,9282,19451,1417,6437,46707.692307692305,37854.07692307692,11597
2021,3,Sants-Montjuïc,17,Sants - Badal,41.375466,2.12771,183,13,0,170,63.8,72.1,0.0,63.3,223.7,256.2,213.9,3603.8,3630.2,3595.8,0.0138,2.3125,44.43125,13239,11664,24903,2276,7803,44906.75,36515.0,14824
2021,3,Sants-Montjuïc,18,Sants,41.375329,2.134912,327,21,0,306,67.4,64.7,0.0,67.6,273.7,284.1,272.2,3791.8,4528.9,3687.4,0.0138,2.0689655172413794,43.62758620689655,22600,21079,43679,3799,13315,49765.03448275862,39562.96551724138,26565
2021,4,Les Corts,19,les Corts,41.385244,2.132863,340,35,2,303,84.1,82.1,62.0,84.5,412.7,519.2,395.3,4740.2,6272.4,4491.1,0.0138,2.1714285714285713,45.94857142857143,24686,21257,45943,3110,15850,70133.54285714286,52316.6,26983
2021,4,Les Corts,20,la Maternitat i Sant Ramon,41.381986,2.125608,167,3,0,164,85.5,83.5,0.0,85.5,386.0,340.0,387.0,4278.6,4022.5,4284.1,0.0138,2.2,45.64,12722,11103,23825,1625,8054,62987.8,48459.4,14146
