year,district_code,district_name,neighborhood_code,neighborhood_name,census_tract,total_pax,F,M
2013,1,Ciutat Vella,1,el Raval,1001,1354,580,774
2013,1,Ciutat Vella,1,el Raval,1002,1578,708,870
2013,1,Ciutat Vella,1,el Raval,1003,3369,1534,1835
2013,1,Ciutat Vella,1,el Raval,1004,2904,1257,1647
2013,1,Ciutat Vella,1,el Raval,1005,2575,1093,1482
2013,1,Ciutat Vella,1,el Raval,1006,1754,764,990
2013,1,Ciutat Vella,1,el Raval,1007,2066,804,1262
2013,1,Ciutat Vella,1,el Raval,1008,3627,1421,2206
2013,1,Ciutat Vella,1,el Raval,1009,2286,1039,1247
2013,1,Ciutat Vella,1,el Raval,1010,2451,1027,1424
2013,1,Ciutat Vella,1,el Raval,1011,3495,1473,2022
2013,1,Ciutat Vella,1,el Raval,1012,1912,927,985
2013,1,Ciutat Vella,1,el Raval,1013,1375,727,648
2013,1,Ciutat Vella,1,el Raval,1014,2068,1001,1067
2013,1,Ciutat Vella,1,el Raval,1015,2294,1135,1159
2013,1,Ciutat Vella,1,el Raval,1016,2318,1115,1203
2013,1,Ciutat Vella,1,el Raval,1017,2672,1226,1446
2013,1,Ciutat Vella,1,el Raval,1018,1574,773,801
2013,1,Ciutat Vella,1,el Raval,1019,2906,1283,1623
2013,1,Ciutat Vella,1,el Raval,1020,2069,1121,948
2013,1,Ciutat Vella,1,el Raval,1021,2124,1061,1063
2013,1,Ciutat Vella,2,el Barri Gòtic,1022,1226,634,592
2013,1,Ciutat Vella,2,el Barri Gòtic,1023,2404,1174,1230
2013,1,Ciutat Vella,2,el Barri Gòtic,1025,1284,636,648
2013,1,Ciutat Vella,2,el Barri Gòtic,1026,2116,873,1243
2013,1,Ciutat Vella,2,el Barri Gòtic,1027,1619,768,851
2013,1,Ciutat Vella,2,el Barri Gòtic,1028,1939,873,1066
2013,1,Ciutat Vella,2,el Barri Gòtic,1029,1398,681,717
2013,1,Ciutat Vella,2,el Barri Gòtic,1030,2561,1173,1388
2013,1,Ciutat Vella,2,el Barri Gòtic,1031,1729,769,960
2013,1,Ciutat Vella,3,la Barceloneta,1032,1908,917,991
2013,1,Ciutat Vella,3,la Barceloneta,1033,1149,568,581
2013,1,Ciutat Vella,3,la Barceloneta,1034,1098,547,551
2013,1,Ciutat Vella,3,la Barceloneta,1035,1341,661,680
2013,1,Ciutat Vella,3,la Barceloneta,1036,1202,628,574
2013,1,Ciutat Vella,3,la Barceloneta,1037,1404,737,667
2013,1,Ciutat Vella,3,la Barceloneta,1038,1610,743,867
2013,1,Ciutat Vella,3,la Barceloneta,1039,1369,676,693
2013,1,Ciutat Vella,3,la Barceloneta,1040,1115,560,555
2013,1,Ciutat Vella,3,la Barceloneta,1041,1501,739,762
2013,1,Ciutat Vella,3,la Barceloneta,1042,1796,951,845
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1043,1213,574,639
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1044,1532,794,738
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1045,2126,1086,1040
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1046,1748,872,876
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1047,1853,974,879
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1048,2289,1140,1149
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1049,1423,742,681
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1050,1602,780,822
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1051,1892,933,959
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1052,2423,1153,1270
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1053,2031,1012,1019
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1054,1362,686,676
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1055,1277,687,590
2013,2,Eixample,5,el Fort Pienc,2001,1237,647,590
2013,2,Eixample,5,el Fort Pienc,2002,2207,1029,1178
2013,2,Eixample,5,el Fort Pienc,2003,1239,695,544
2013,2,Eixample,5,el Fort Pienc,2004,1501,778,723
2013,2,Eixample,5,el Fort Pienc,2005,2161,1149,1012
2013,2,Eixample,5,el Fort Pienc,2006,1612,855,757
2013,2,Eixample,5,el Fort Pienc,2007,1225,705,520
2013,2,Eixample,5,el Fort Pienc,2008,1826,999,827
2013,2,Eixample,5,el Fort Pienc,2009,1727,930,797
2013,2,Eixample,5,el Fort Pienc,2010,1198,655,543
2013,2,Eixample,5,el Fort Pienc,2011,1108,566,542
2013,2,Eixample,5,el Fort Pienc,2012,1572,817,755
2013,2,Eixample,5,el Fort Pienc,2013,1127,607,520
2013,2,Eixample,5,el Fort Pienc,2014,1338,695,643
2013,2,Eixample,5,el Fort Pienc,2015,1571,854,717
2013,2,Eixample,5,el Fort Pienc,2016,1880,1037,843
2013,2,Eixample,5,el Fort Pienc,2017,1953,1050,903
2013,2,Eixample,5,el Fort Pienc,2018,1832,986,846
2013,2,Eixample,5,el Fort Pienc,2019,1966,1058,908
2013,2,Eixample,5,el Fort Pienc,2020,1475,798,677
2013,2,Eixample,6,la Sagrada Família,2021,1481,784,697
2013,2,Eixample,6,la Sagrada Família,2022,1249,661,588
2013,2,Eixample,6,la Sagrada Família,2023,1092,566,526
2013,2,Eixample,6,la Sagrada Família,2024,1141,621,520
2013,2,Eixample,6,la Sagrada Família,2025,1190,638,552
2013,2,Eixample,6,la Sagrada Família,2026,2123,1151,972
2013,2,Eixample,6,la Sagrada Família,2027,2032,1104,928
2013,2,Eixample,6,la Sagrada Família,2028,2125,1159,966
2013,2,Eixample,6,la Sagrada Família,2029,1154,611,543
2013,2,Eixample,6,la Sagrada Família,2030,1233,659,574
2013,2,Eixample,6,la Sagrada Família,2031,1059,565,494
2013,2,Eixample,6,la Sagrada Família,2032,1246,723,523
2013,2,Eixample,6,la Sagrada Família,2033,1172,632,540
2013,2,Eixample,6,la Sagrada Família,2034,1157,652,505
2013,2,Eixample,6,la Sagrada Família,2035,1273,692,581
2013,2,Eixample,6,la Sagrada Família,2036,1233,654,579
2013,2,Eixample,6,la Sagrada Família,2037,1213,614,599
2013,2,Eixample,6,la Sagrada Família,2038,1652,871,781
2013,2,Eixample,6,la Sagrada Família,2039,1766,982,784
2013,2,Eixample,6,la Sagrada Família,2040,1634,866,768
2013,2,Eixample,6,la Sagrada Família,2041,1677,930,747
2013,2,Eixample,6,la Sagrada Família,2042,1682,881,801
2013,2,Eixample,6,la Sagrada Família,2043,1432,768,664
2013,2,Eixample,6,la Sagrada Família,2044,1245,697,548
2013,2,Eixample,6,la Sagrada Família,2045,1210,653,557
2013,2,Eixample,6,la Sagrada Família,2046,1871,1029,842
2013,2,Eixample,6,la Sagrada Família,2047,1886,1023,863
2013,2,Eixample,6,la Sagrada Família,2048,1299,712,587
2013,2,Eixample,6,la Sagrada Família,2049,2091,1145,946
2013,2,Eixample,6,la Sagrada Família,2050,1649,906,743
2013,2,Eixample,6,la Sagrada Família,2051,1987,1068,919
2013,2,Eixample,6,la Sagrada Família,2052,1808,990,818
2013,2,Eixample,6,la Sagrada Família,2053,1840,984,856
2013,2,Eixample,6,la Sagrada Família,2054,1919,1039,880
2013,2,Eixample,7,la Dreta de l'Eixample,2055,1883,1001,882
2013,2,Eixample,7,la Dreta de l'Eixample,2056,1465,831,634
2013,2,Eixample,7,la Dreta de l'Eixample,2057,1242,666,576
2013,2,Eixample,7,la Dreta de l'Eixample,2058,1381,759,622
2013,2,Eixample,7,la Dreta de l'Eixample,2059,1616,872,744
2013,2,Eixample,7,la Dreta de l'Eixample,2060,1683,918,765
2013,2,Eixample,7,la Dreta de l'Eixample,2061,1364,763,601
2013,2,Eixample,7,la Dreta de l'Eixample,2062,1595,865,730
2013,2,Eixample,7,la Dreta de l'Eixample,2063,1179,729,450
2013,2,Eixample,7,la Dreta de l'Eixample,2064,1404,741,663
2013,2,Eixample,7,la Dreta de l'Eixample,2065,1889,1028,861
2013,2,Eixample,7,la Dreta de l'Eixample,2066,1943,1038,905
2013,2,Eixample,7,la Dreta de l'Eixample,2067,1660,891,769
2013,2,Eixample,7,la Dreta de l'Eixample,2068,1697,904,793
2013,2,Eixample,7,la Dreta de l'Eixample,2069,1334,707,627
2013,2,Eixample,7,la Dreta de l'Eixample,2070,1330,752,578
2013,2,Eixample,7,la Dreta de l'Eixample,2071,1681,876,805
2013,2,Eixample,7,la Dreta de l'Eixample,2072,1180,625,555
2013,2,Eixample,7,la Dreta de l'Eixample,2073,1624,852,772
2013,2,Eixample,7,la Dreta de l'Eixample,2074,1134,580,554
2013,2,Eixample,7,la Dreta de l'Eixample,2075,1207,652,555
2013,2,Eixample,7,la Dreta de l'Eixample,2076,1661,889,772
2013,2,Eixample,7,la Dreta de l'Eixample,2077,1425,723,702
2013,2,Eixample,7,la Dreta de l'Eixample,2078,1460,822,638
2013,2,Eixample,7,la Dreta de l'Eixample,2079,1234,672,562
2013,2,Eixample,7,la Dreta de l'Eixample,2080,1429,787,642
2013,2,Eixample,7,la Dreta de l'Eixample,2081,2092,1173,919
2013,2,Eixample,7,la Dreta de l'Eixample,2082,967,547,420
2013,2,Eixample,7,la Dreta de l'Eixample,2083,1640,926,714
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2084,2043,1120,923
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2085,1449,798,651
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2086,1390,777,613
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2087,1446,790,656
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2088,1678,925,753
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2089,1889,998,891
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2090,1685,908,777
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2091,1840,929,911
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2092,1821,943,878
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2093,1551,802,749
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2094,1487,789,698
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2095,1562,813,749
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2096,1443,777,666
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2097,1133,606,527
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2098,1542,879,663
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2099,1472,791,681
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2100,1386,734,652
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2101,2124,1170,954
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2102,1375,780,595
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2103,1776,992,784
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2104,1121,609,512
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2105,2106,1180,926
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2106,1450,762,688
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2107,1617,892,725
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2108,1526,845,681
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2109,1926,1062,864
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2110,1916,1011,905
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2111,1781,997,784
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2112,1307,706,601
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2113,1870,987,883
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2114,1692,939,753
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2115,1376,751,625
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2116,1041,575,466
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,2117,1206,627,579
