year,district_code,district_name,neighborhood_code,neighborhood_name,census_tract,avg_gross_inc_€
2015,1,Ciutat Vella,1,el Raval,1001,28573
2015,1,Ciutat Vella,1,el Raval,1002,23673
2015,1,Ciutat Vella,1,el Raval,1003,24997
2015,1,Ciutat Vella,1,el Raval,1004,29768
2015,1,Ciutat Vella,1,el Raval,1005,23645
2015,1,Ciutat Vella,1,el Raval,1006,27650
2015,1,Ciutat Vella,1,el Raval,1007,27800
2015,1,Ciutat Vella,1,el Raval,1008,23022
2015,1,Ciutat Vella,1,el Raval,1009,26655
2015,1,Ciutat Vella,1,el Raval,1010,24703
2015,1,Ciutat Vella,1,el Raval,1011,23241
2015,1,Ciutat Vella,1,el Raval,1012,26842
2015,1,Ciutat Vella,1,el Raval,1013,30066
2015,1,Ciutat Vella,1,el Raval,1014,27941
2015,1,Ciutat Vella,1,el Raval,1015,28107
2015,1,Ciutat Vella,1,el Raval,1016,29069
2015,1,Ciutat Vella,1,el Raval,1017,26658
2015,1,Ciutat Vella,1,el Raval,1018,26309
2015,1,Ciutat Vella,1,el Raval,1019,24469
2015,1,Ciutat Vella,1,el Raval,1020,37601
2015,1,Ciutat Vella,1,el Raval,1021,31900
2015,1,Ciutat Vella,2,el Barri Gòtic,1022,41498
2015,1,Ciutat Vella,2,el Barri Gòtic,1023,36895
2015,1,Ciutat Vella,2,el Barri Gòtic,1025,30631
2015,1,Ciutat Vella,2,el Barri Gòtic,1026,36865
2015,1,Ciutat Vella,2,el Barri Gòtic,1027,31603
2015,1,Ciutat Vella,2,el Barri Gòtic,1028,32089
2015,1,Ciutat Vella,2,el Barri Gòtic,1029,28007
2015,1,Ciutat Vella,2,el Barri Gòtic,1030,29580
2015,1,Ciutat Vella,2,el Barri Gòtic,1031,31299
2015,1,Ciutat Vella,3,la Barceloneta,1032,30743
2015,1,Ciutat Vella,3,la Barceloneta,1033,25786
2015,1,Ciutat Vella,3,la Barceloneta,1034,23908
2015,1,Ciutat Vella,3,la Barceloneta,1035,25404
2015,1,Ciutat Vella,3,la Barceloneta,1036,30603
2015,1,Ciutat Vella,3,la Barceloneta,1037,29889
2015,1,Ciutat Vella,3,la Barceloneta,1038,25501
2015,1,Ciutat Vella,3,la Barceloneta,1039,29793
2015,1,Ciutat Vella,3,la Barceloneta,1040,30698
2015,1,Ciutat Vella,3,la Barceloneta,1041,23570
2015,1,Ciutat Vella,3,la Barceloneta,1042,31956
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1043,40240
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1044,39372
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1045,29864
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1046,30148
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1047,26394
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1048,24167
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1049,35164
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1050,31159
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1051,26621
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1052,47394
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1053,25718
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1054,27627
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1055,41163
2015,2,Eixample,5,el Fort Pienc,2001,45435
2015,2,Eixample,5,el Fort Pienc,2002,43232
2015,2,Eixample,5,el Fort Pienc,2003,51823
2015,2,Eixample,5,el Fort Pienc,2004,39508
2015,2,Eixample,5,el Fort Pienc,2005,51940
2015,2,Eixample,5,el Fort Pienc,2006,52950
2015,2,Eixample,5,el Fort Pienc,2007,52804
2015,2,Eixample,5,el Fort Pienc,2008,52183
2015,2,Eixample,5,el Fort Pienc,2009,50321
2015,2,Eixample,5,el Fort Pienc,2010,46898
2015,2,Eixample,5,el Fort Pienc,2011,49444
2015,2,Eixample,5,el Fort Pienc,2012,41059
2015,2,Eixample,5,el Fort Pienc,2013,36608
2015,2,Eixample,5,el Fort Pienc,2014,35085
2015,2,Eixample,5,el Fort Pienc,2015,38657
2015,2,Eixample,5,el Fort Pienc,2016,49540
2015,2,Eixample,5,el Fort Pienc,2017,52673
2015,2,Eixample,5,el Fort Pienc,2018,53690
2015,2,Eixample,5,el Fort Pienc,2019,45016
2015,2,Eixample,5,el Fort Pienc,2020,38979
2015,2,Eixample,6,la Sagrada Família,2021,39429
2015,2,Eixample,6,la Sagrada Família,2022,47856
2015,2,Eixample,6,la Sagrada Família,2023,43308
2015,2,Eixample,6,la Sagrada Família,2024,40382
2015,2,Eixample,6,la Sagrada Família,2025,41075
2015,2,Eixample,6,la Sagrada Família,2026,47135
2015,2,Eixample,6,la Sagrada Família,2027,47236
2015,2,Eixample,6,la Sagrada Família,2028,46494
2015,2,Eixample,6,la Sagrada Família,2029,42743
2015,2,Eixample,6,la Sagrada Família,2030,36891
2015,2,Eixample,6,la Sagrada Família,2031,54739
2015,2,Eixample,6,la Sagrada Família,2032,45260
2015,2,Eixample,6,la Sagrada Família,2033,42742
2015,2,Eixample,6,la Sagrada Família,2034,36193
2015,2,Eixample,6,la Sagrada Família,2035,44295
2015,2,Eixample,6,la Sagrada Família,2036,52391
2015,2,Eixample,6,la Sagrada Família,2037,52646
2015,2,Eixample,6,la Sagrada Família,2038,52934
2015,2,Eixample,6,la Sagrada Família,2039,40821
2015,2,Eixample,6,la Sagrada Família,2040,38234
2015,2,Eixample,6,la Sagrada Família,2041,43211
2015,2,Eixample,6,la Sagrada Família,2042,52644
2015,2,Eixample,6,la Sagrada Família,2043,51429
2015,2,Eixample,6,la Sagrada Família,2044,40587
2015,2,Eixample,6,la Sagrada Família,2045,49473
2015,2,Eixample,6,la Sagrada Família,2046,39428
2015,2,Eixample,6,la Sagrada Família,2047,44561
2015,2,Eixample,6,la Sagrada Família,2048,44620
2015,2,Eixample,6,la Sagrada Família,2049,39578
2015,2,Eixample,6,la Sagrada Família,2050,42328
2015,2,Eixample,6,la Sagrada Família,2051,43063
2015,2,Eixample,6,la Sagrada Família,2052,43433
2015,2,Eixample,6,la Sagrada Família,2053,45276
2015,2,Eixample,6,la Sagrada Família,2054,47766
2015,2,Eixample,7,la Dreta de l'Eixample,2055,50396
2015,2,Eixample,7,la Dreta de l'Eixample,2056,48474
2015,2,Eixample,7,la Dreta de l'Eixample,2057,63085
2015,2,Eixample,7,la Dreta de l'Eixample,2058,53445
2015,2,Eixample,7,la Dreta de l'Eixample,2059,60828
2015,2,Eixample,7,la Dreta de l'Eixample,2060,54705
2015,2,Eixample,7,la Dreta de l'Eixample,2061,42640
2015,2,Eixample,7,la Dreta de l'Eixample,2062,56846
2015,2,Eixample,7,la Dreta de l'Eixample,2063,87891
2015,2,Eixample,7,la Dreta de l'Eixample,2064,70047
2015,2,Eixample,7,la Dreta de l'Eixample,2065,53605
2015,2,Eixample,7,la Dreta de l'Eixample,2066,53327
2015,2,Eixample,7,la Dreta de l'Eixample,2067,43801
2015,2,Eixample,7,la Dreta de l'Eixample,2068,49079
2015,2,Eixample,7,la Dreta de l'Eixample,2069,57091
2015,2,Eixample,7,la Dreta de l'Eixample,2070,60171
2015,2,Eixample,7,la Dreta de l'Eixample,2071,64591
2015,2,Eixample,7,la Dreta de l'Eixample,2072,69065
2015,2,Eixample,7,la Dreta de l'Eixample,2073,62961
2015,2,Eixample,7,la Dreta de l'Eixample,2074,65227
2015,2,Eixample,7,la Dreta de l'Eixample,2075,54715
2015,2,Eixample,7,la Dreta de l'Eixample,2076,68426
2015,2,Eixample,7,la Dreta de l'Eixample,2077,72503
2015,2,Eixample,7,la Dreta de l'Eixample,2078,76831
2015,2,Eixample,7,la Dreta de l'Eixample,2079,89557
2015,2,Eixample,7,la Dreta de l'Eixample,2080,77186
2015,2,Eixample,7,la Dreta de l'Eixample,2081,70089
2015,2,Eixample,7,la Dreta de l'Eixample,2082,63308
2015,2,Eixample,7,la Dreta de l'Eixample,2083,76622
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2084,55779
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2085,55813
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2086,61120
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2087,52281
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2088,59268
