year,district_code,district_name,neighborhood_code,neighborhood_name,census_tract,avg_nb_pax_per_home
2013,1,Ciutat Vella,1,el Raval,1001,3.0
2013,1,Ciutat Vella,1,el Raval,1002,3.0
2013,1,Ciutat Vella,1,el Raval,1003,3.0
2013,1,Ciutat Vella,1,el Raval,1004,3.0
2013,1,Ciutat Vella,1,el Raval,1005,3.0
2013,1,Ciutat Vella,1,el Raval,1006,3.0
2013,1,Ciutat Vella,1,el Raval,1007,3.0
2013,1,Ciutat Vella,1,el Raval,1008,3.0
2013,1,Ciutat Vella,1,el Raval,1009,3.0
2013,1,Ciutat Vella,1,el Raval,1010,3.0
2013,1,Ciutat Vella,1,el Raval,1011,3.0
2013,1,Ciutat Vella,1,el Raval,1012,3.0
2013,1,Ciutat Vella,1,el Raval,1013,3.0
2013,1,Ciutat Vella,1,el Raval,1014,3.0
2013,1,Ciutat Vella,1,el Raval,1015,3.0
2013,1,Ciutat Vella,1,el Raval,1016,3.0
2013,1,Ciutat Vella,1,el Raval,1017,3.0
2013,1,Ciutat Vella,1,el Raval,1018,3.0
2013,1,Ciutat Vella,1,el Raval,1019,3.0
2013,1,Ciutat Vella,1,el Raval,1020,2.0
2013,1,Ciutat Vella,1,el Raval,1021,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1022,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1023,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1025,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1026,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1027,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1028,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1029,2.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1030,3.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1031,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1032,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1033,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1034,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1035,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1036,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1037,3.0
2013,1,Ciutat Vella,3,la Barceloneta,1038,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1039,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1040,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1041,2.0
2013,1,Ciutat Vella,3,la Barceloneta,1042,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1043,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1044,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1045,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1046,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1047,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1048,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1049,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1050,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1051,2.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1052,2.0
