year,district_code,district_name,neighborhood_code,neighborhood_name,census_tract,avg_net_inc_€
2015,1,Ciutat Vella,1,el Raval,1001,24471
2015,1,Ciutat Vella,1,el Raval,1002,20551
2015,1,Ciutat Vella,1,el Raval,1003,21894
2015,1,Ciutat Vella,1,el Raval,1004,24884
2015,1,Ciutat Vella,1,el Raval,1005,20540
2015,1,Ciutat Vella,1,el Raval,1006,23354
2015,1,Ciutat Vella,1,el Raval,1007,23692
2015,1,Ciutat Vella,1,el Raval,1008,20398
2015,1,Ciutat Vella,1,el Raval,1009,23022
2015,1,Ciutat Vella,1,el Raval,1010,21661
2015,1,Ciutat Vella,1,el Raval,1011,20502
2015,1,Ciutat Vella,1,el Raval,1012,23048
2015,1,Ciutat Vella,1,el Raval,1013,26170
2015,1,Ciutat Vella,1,el Raval,1014,24357
2015,1,Ciutat Vella,1,el Raval,1015,24482
2015,1,Ciutat Vella,1,el Raval,1016,25245
2015,1,Ciutat Vella,1,el Raval,1017,23340
2015,1,Ciutat Vella,1,el Raval,1018,23133
2015,1,Ciutat Vella,1,el Raval,1019,21104
2015,1,Ciutat Vella,1,el Raval,1020,28885
2015,1,Ciutat Vella,1,el Raval,1021,26238
2015,1,Ciutat Vella,2,el Barri Gòtic,1022,32646
2015,1,Ciutat Vella,2,el Barri Gòtic,1023,29671
2015,1,Ciutat Vella,2,el Barri Gòtic,1025,24942
2015,1,Ciutat Vella,2,el Barri Gòtic,1026,29259
2015,1,Ciutat Vella,2,el Barri Gòtic,1027,25927
2015,1,Ciutat Vella,2,el Barri Gòtic,1028,26356
2015,1,Ciutat Vella,2,el Barri Gòtic,1029,23233
2015,1,Ciutat Vella,2,el Barri Gòtic,1030,24689
2015,1,Ciutat Vella,2,el Barri Gòtic,1031,25346
2015,1,Ciutat Vella,3,la Barceloneta,1032,25473
2015,1,Ciutat Vella,3,la Barceloneta,1033,22259
2015,1,Ciutat Vella,3,la Barceloneta,1034,20503
2015,1,Ciutat Vella,3,la Barceloneta,1035,21963
2015,1,Ciutat Vella,3,la Barceloneta,1036,25988
