year,district_code,district_name,neighborhood_code,neighborhood_name,census_tract,avg_pax_age
2013,1,Ciutat Vella,1,el Raval,1001,39.9
2013,1,Ciutat Vella,1,el Raval,1002,38.4
2013,1,Ciutat Vella,1,el Raval,1003,37.2
2013,1,Ciutat Vella,1,el Raval,1004,37.6
2013,1,Ciutat Vella,1,el Raval,1005,39.6
2013,1,Ciutat Vella,1,el Raval,1006,39.4
2013,1,Ciutat Vella,1,el Raval,1007,35.9
2013,1,Ciutat Vella,1,el Raval,1008,36.7
2013,1,Ciutat Vella,1,el Raval,1009,37.8
2013,1,Ciutat Vella,1,el Raval,1010,35.9
2013,1,Ciutat Vella,1,el Raval,1011,35.8
2013,1,Ciutat Vella,1,el Raval,1012,38.3
2013,1,Ciutat Vella,1,el Raval,1013,40.8
2013,1,Ciutat Vella,1,el Raval,1014,37.7
2013,1,Ciutat Vella,1,el Raval,1015,38.7
2013,1,Ciutat Vella,1,el Raval,1016,38.3
2013,1,Ciutat Vella,1,el Raval,1017,37.2
2013,1,Ciutat Vella,1,el Raval,1018,39.7
2013,1,Ciutat Vella,1,el Raval,1019,38.8
2013,1,Ciutat Vella,1,el Raval,1020,43.4
2013,1,Ciutat Vella,1,el Raval,1021,41.2
2013,1,Ciutat Vella,2,el Barri Gòtic,1022,43.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1023,42.4
2013,1,Ciutat Vella,2,el Barri Gòtic,1025,40.7
2013,1,Ciutat Vella,2,el Barri Gòtic,1026,40.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1027,41.9
2013,1,Ciutat Vella,2,el Barri Gòtic,1028,40.7
2013,1,Ciutat Vella,2,el Barri Gòtic,1029,40.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1030,41.0
2013,1,Ciutat Vella,2,el Barri Gòtic,1031,38.4
2013,1,Ciutat Vella,3,la Barceloneta,1032,44.1
2013,1,Ciutat Vella,3,la Barceloneta,1033,41.3
2013,1,Ciutat Vella,3,la Barceloneta,1034,42.2
2013,1,Ciutat Vella,3,la Barceloneta,1035,42.7
2013,1,Ciutat Vella,3,la Barceloneta,1036,44.2
2013,1,Ciutat Vella,3,la Barceloneta,1037,41.9
2013,1,Ciutat Vella,3,la Barceloneta,1038,40.5
2013,1,Ciutat Vella,3,la Barceloneta,1039,43.4
2013,1,Ciutat Vella,3,la Barceloneta,1040,43.2
2013,1,Ciutat Vella,3,la Barceloneta,1041,39.3
2013,1,Ciutat Vella,3,la Barceloneta,1042,47.6
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1043,41.1
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1044,40.3
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1045,41.0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1046,40.9
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1047,41.5
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1048,39.2
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1049,40.8
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1050,40.2
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1051,37.8
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1052,39.4
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1053,41.6
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1054,39.9
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1055,45.7
2013,2,Eixample,5,el Fort Pienc,2001,40.9
2013,2,Eixample,5,el Fort Pienc,2002,42.8
2013,2,Eixample,5,el Fort Pienc,2003,45.9
2013,2,Eixample,5,el Fort Pienc,2004,43.5
2013,2,Eixample,5,el Fort Pienc,2005,43.8
2013,2,Eixample,5,el Fort Pienc,2006,44.5
2013,2,Eixample,5,el Fort Pienc,2007,46.1
2013,2,Eixample,5,el Fort Pienc,2008,43.4
2013,2,Eixample,5,el Fort Pienc,2009,42.0
2013,2,Eixample,5,el Fort Pienc,2010,44.1
2013,2,Eixample,5,el Fort Pienc,2011,44.8
2013,2,Eixample,5,el Fort Pienc,2012,42.1
2013,2,Eixample,5,el Fort Pienc,2013,41.2
2013,2,Eixample,5,el Fort Pienc,2014,40.7
2013,2,Eixample,5,el Fort Pienc,2015,45.4
2013,2,Eixample,5,el Fort Pienc,2016,44.7
2013,2,Eixample,5,el Fort Pienc,2017,42.3
2013,2,Eixample,5,el Fort Pienc,2018,45.6
2013,2,Eixample,5,el Fort Pienc,2019,44.1
2013,2,Eixample,5,el Fort Pienc,2020,42.3
2013,2,Eixample,6,la Sagrada Família,2021,46.1
2013,2,Eixample,6,la Sagrada Família,2022,43.5
2013,2,Eixample,6,la Sagrada Família,2023,46.8
2013,2,Eixample,6,la Sagrada Família,2024,43.3
2013,2,Eixample,6,la Sagrada Família,2025,44.5
2013,2,Eixample,6,la Sagrada Família,2026,44.2
2013,2,Eixample,6,la Sagrada Família,2027,46.3
2013,2,Eixample,6,la Sagrada Família,2028,42.8
2013,2,Eixample,6,la Sagrada Família,2029,43.1
2013,2,Eixample,6,la Sagrada Família,2030,44.3
