year,district_code,district_name,neighborhood_code,neighborhood_name,latitude,longitude,total_nb_buy_sell,nb_buy_sell_new_free_mkt,nb_buy_sell_new_protc_mkt,nb_buy_sell_2nd_hand,total_avg_m2_surf,avg_m2_surf_new_free_mkt,avg_m2_surf_new_protc_mkt,avg_m2_2nd_hand,avg_total_price_€000_all,avg_total_price_€000_new,avg_total_price_€000_2nd_hand,avg_price_€/m2_all,avg_price_€/m2_new,avg_price_€/m2_2nd_hand,avg_weight_ int_ rate_%
2022,1,Ciutat Vella,1,el Raval,41.379518,2.168368,488,5,0,483,65.7,65.2,0.0,65.7,226.3,421.3,223.8,3382.9,6459.9,3343.2,0.0291
2022,1,Ciutat Vella,2,el Barri Gòtic,41.383395,2.176912,242,32,0,210,89.4,89.8,0.0,89.3,421.6,559.8,398.7,4800.2,5986.2,4603.6,0.0291
2022,1,Ciutat Vella,3,la Barceloneta,41.380653,2.189927,211,11,0,200,47.2,39.9,0.0,47.5,216.2,162.0,218.8,4656.7,4283.2,4674.6,0.0291
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",41.384753,2.183755,349,40,0,309,70.1,53.7,0.0,72.3,303.8,262.6,309.5,4355.4,4856.8,4286.6,0.0291
2022,2,Eixample,5,el Fort Pienc,41.395925,2.182325,245,6,0,239,84.6,89.6,0.0,84.5,354.8,374.8,354.3,4296.0,4178.0,4298.8,0.0291
2022,2,Eixample,6,la Sagrada Família,41.403479,2.17441,442,3,0,439,74.7,63.0,0.0,74.8,307.8,285.3,308.0,4188.2,4529.1,4185.4,0.0291
2022,2,Eixample,7,la Dreta de l'Eixample,41.395037,2.167207,581,101,0,480,109.4,111.4,0.0,108.9,679.3,884.7,633.7,6208.9,8070.2,5796.3,0.0291
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41.39,2.155,481,35,1,445,97.9,108.3,93.0,97.1,499.8,725.5,479.7,5125.4,6468.4,5005.5,0.0291
2022,2,Eixample,9,la Nova Esquerra de l'Eixample,41.383389,2.149,586,87,19,480,79.7,77.0,85.1,79.9,363.2,348.1,366.4,4557.3,4545.0,4559.9,0.0291
2022,2,Eixample,10,Sant Antoni,41.380052,2.163327,402,13,3,386,79.4,109.0,64.0,78.2,354.4,309.2,357.3,4592.6,3660.6,4651.7,0.0291
2022,3,Sants-Montjuïc,11,el Poble Sec,41.37498,2.160572,459,3,0,456,62.6,71.7,0.0,62.6,228.3,310.0,227.0,3633.7,4283.3,3623.5,0.0291
2022,3,Sants-Montjuïc,12,la Marina del Prat Vermell,41.353842,2.142318,8,0,0,8,73.9,0.0,0.0,73.9,217.5,0.0,217.5,2825.2,0.0,2825.2,0.0291
2022,3,Sants-Montjuïc,13,la Marina de Port,41.360296,2.137584,314,8,5,301,69.5,61.4,65.6,69.8,221.2,163.5,224.9,3250.6,2637.2,3290.2,0.0291
2022,3,Sants-Montjuïc,14,la Font de la Guatlla,41.370782,2.144676,147,45,0,102,78.4,81.8,0.0,76.9,257.4,268.0,252.5,3362.1,3317.3,3382.5,0.0291
2022,3,Sants-Montjuïc,15,Hostafrancs,41.375263,2.143194,153,39,1,113,66.9,66.8,111.0,66.5,258.5,274.0,253.4,3921.7,4162.2,3842.4,0.0291
2022,3,Sants-Montjuïc,16,la Bordeta,41.369142,2.137373,167,6,0,161,67.4,73.0,0.0,67.2,193.9,255.0,184.9,2834.9,3396.3,2752.3,0.0291
2022,3,Sants-Montjuïc,17,Sants - Badal,41.375466,2.12771,282,27,0,255,67.0,72.8,0.0,66.4,262.3,314.4,239.1,3770.0,4384.8,3496.7,0.0291
2022,3,Sants-Montjuïc,18,Sants,41.375329,2.134912,371,9,0,362,67.9,70.7,0.0,67.9,279.6,282.7,279.5,4019.4,4085.2,4016.8,0.0291
2022,4,Les Corts,19,les Corts,41.385244,2.132863,366,22,1,343,85.8,86.8,74.0,85.8,425.2,626.5,408.7,4793.8,7183.9,4598.5,0.0291
2022,4,Les Corts,20,la Maternitat i Sant Ramon,41.381986,2.125608,181,4,0,177,84.6,74.0,0.0,84.8,396.2,374.3,397.0,4311.8,4806.0,4294.4,0.0291
2022,4,Les Corts,21,Pedralbes,41.39014,2.112218,157,36,1,120,142.1,94.8,59.0,159.4,818.8,391.8,974.1,5387.3,4229.3,5808.4,0.0291
2022,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",41.415067,2.107482,46,2,0,44,145.0,409.0,0.0,135.2,418.8,0.0,422.2,3822.1,0.0,3938.3,0.0291
2022,5,Sarrià-Sant Gervasi,23,Sarrià,41.399373,2.121513,249,19,0,230,121.4,258.1,0.0,109.3,809.3,2223.5,672.7,6150.9,8276.3,5945.6,0.0291
2022,5,Sarrià-Sant Gervasi,24,les Tres Torres,41.397611,2.131184,154,9,0,145,153.6,107.1,0.0,157.0,952.4,711.7,971.0,6128.6,5908.0,6145.6,0.0291
2022,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,41.405983,2.133405,210,42,0,168,122.4,118.5,0.0,123.3,849.2,766.0,869.1,6875.6,6590.6,6943.6,0.0291
2022,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,41.397795,2.143383,503,97,0,406,131.3,125.0,0.0,132.9,823.9,789.2,832.5,6281.5,6465.7,6235.7,0.0291
2022,5,Sarrià-Sant Gervasi,27,el Putget i Farró,41.407317,2.143424,255,15,1,239,97.4,73.4,72.0,99.0,514.2,522.6,513.6,5239.6,7014.9,5122.4,0.0291
2022,6,Gràcia,28,Vallcarca i els Penitents,41.415526,2.142243,158,22,3,133,86.5,95.5,69.3,85.4,380.9,380.4,381.0,4477.7,4563.9,4462.2,0.0291
2022,6,Gràcia,29,el Coll,41.417907,2.148075,69,19,0,50,70.2,75.4,0.0,68.4,242.8,294.7,225.5,3357.8,3991.0,3146.7,0.0291
2022,6,Gràcia,30,la Salut,41.442733,2.224576,143,6,0,137,80.6,85.2,0.0,80.4,340.3,350.0,339.8,4286.4,4318.3,4285.0,0.0291
2022,6,Gràcia,31,Vila de Gràcia,41.403178,2.157166,574,35,0,539,76.4,88.9,0.0,75.4,361.4,313.4,365.0,4801.1,3545.0,4895.0,0.0291
2022,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,41.404589,2.166781,357,0,0,357,76.9,0.0,0.0,76.9,339.5,0.0,339.5,4536.5,0.0,4536.5,0.0291
2022,7,Horta-Guinardó,33,el Baix Guinardó,41.411437,2.168651,216,21,0,195,69.9,60.7,0.0,70.9,256.2,183.8,264.8,3723.9,3043.6,3804.7,0.0291
2022,7,Horta-Guinardó,34,Can Baró,41.416092,2.162402,81,1,0,80,70.7,95.0,0.0,70.4,248.7,0.0,247.1,3419.9,0.0,3414.6,0.0291
2022,7,Horta-Guinardó,35,el Guinardó,41.417733,2.173632,359,20,0,339,75.0,89.4,0.0,74.2,262.7,401.0,254.6,3492.9,4543.1,3430.8,0.0291
2022,7,Horta-Guinardó,36,la Font d'en Fargues,41.425788,2.165915,90,26,0,64,89.9,87.0,0.0,90.9,322.3,415.8,287.6,3706.7,4858.8,3280.0,0.0291
2022,7,Horta-Guinardó,37,el Carmel,41.425607,2.154894,319,69,0,250,62.7,60.7,0.0,63.2,175.2,193.7,169.7,2818.7,3059.2,2747.5,0.0291
2022,7,Horta-Guinardó,38,la Teixonera,41.423173,2.14597,143,50,0,93,65.3,69.9,0.0,63.1,201.1,233.0,185.1,3072.0,3462.7,2876.6,0.0291
2022,7,Horta-Guinardó,39,Sant Genís dels Agudells,41.426457,2.137491,37,7,1,29,64.8,67.3,0.0,64.3,153.1,159.3,151.7,2316.8,2214.2,2339.6,0.0291
2022,7,Horta-Guinardó,40,Montbau,41.42955,2.144538,49,5,1,43,63.1,54.3,0.0,64.0,183.3,170.0,184.9,3027.1,3107.9,3017.0,0.0291
2022,7,Horta-Guinardó,41,la Vall d'Hebron,41.430379,2.148624,28,4,2,22,67.3,52.3,73.0,69.6,313.0,238.2,326.5,4642.4,4585.6,4652.7,0.0291
2022,7,Horta-Guinardó,42,la Clota,41.427857,2.152407,3,0,1,2,83.7,0.0,57.0,97.0,200.0,0.0,0.0,2210.5,0.0,0.0,0.0291
2022,7,Horta-Guinardó,43,Horta,41.42969,2.160315,197,39,3,155,66.2,69.0,63.7,65.6,246.8,293.9,230.8,3706.1,4274.7,3512.9,0.0291
